"area","type","value","CIlow","CIup","period_start","period_end","coverage","data_updated"
"Aberdeen City","Cases",24.9,8.7,48,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Aberdeen City","Cases",23.2,4.4,68.7,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Aberdeen City","Cases",21.9,2.6,102.2,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Aberdeen City","Cases",18.8,0.9,161.9,"2021-03-21","2021-03-27",0.9,"2021-03-07"
"Aberdeen City","Infections",55.5,33.1,88.7,"2021-02-14","2021-02-20",0.9,"2021-03-07"
"Aberdeen City","Infections",53.2,22.9,106.7,"2021-02-21","2021-02-27",0.9,"2021-03-07"
"Aberdeen City","Infections",49.4,13.7,158.2,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Aberdeen City","Infections",45.1,7.6,247,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Aberdeen City","Infections",42.3,4,373.4,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Aberdeen City","P(Cases>100)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeen City","P(Cases>100)",0.01,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeen City","P(Cases>100)",0.05,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeen City","P(Cases>100)",0.1,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeen City","P(Cases>20)",0.68,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeen City","P(Cases>20)",0.58,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeen City","P(Cases>20)",0.54,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeen City","P(Cases>20)",0.48,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeen City","P(Cases>200)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeen City","P(Cases>200)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeen City","P(Cases>200)",0.01,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeen City","P(Cases>200)",0.04,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeen City","P(Cases>300)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeen City","P(Cases>300)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeen City","P(Cases>300)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeen City","P(Cases>300)",0.02,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeen City","P(Cases>50)",0.04,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeen City","P(Cases>50)",0.13,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeen City","P(Cases>50)",0.19,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeen City","P(Cases>50)",0.23,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeen City","P(Cases>500)",0,NA,NA,"2021-02-28","2021-03-06",NA,"2021-03-07"
"Aberdeen City","P(Cases>500)",0,NA,NA,"2021-03-07","2021-03-13",NA,"2021-03-07"
"Aberdeen City","P(Cases>500)",0,NA,NA,"2021-03-14","2021-03-20",NA,"2021-03-07"
"Aberdeen City","P(Cases>500)",0.01,NA,NA,"2021-03-21","2021-03-27",NA,"2021-03-07"
"Aberdeen City","P(R>1)",0.37,NA,NA,"2021-02-21","2021-02-27",NA,"2021-03-07"
"Aberdeen City","R",0.92,0.52,1.52,"2021-03-04","2021-03-04",0.9,"2021-03-07"
"Aberdeenshire","Cases",16.5,6.1,32.1,"2021-02-28","2021-03-06",0.9,"2021-03-07"
"Aberdeenshire","Cases",11.5,2.7,29.4,"2021-03-07","2021-03-13",0.9,"2021-03-07"
"Aberdeenshire","Cases",8,0.8,28.6,"2021-03-14","2021-03-20",0.9,"2021-03-07"
"Aberdeenshire","Cases",6.1,0,28.3,"2021-03-21","2021-03-27",0.9,"2021-03-07"
